head,text,date,comm_num
Новый КоАП: Что он изменит для людей ,"
Измененный Кодекс об административных правонарушениях позволяет автовладельцам быстрей получать выплаты из страховых компаний, компаниям выплачивать только 50% штрафа, а иностранцам жить без регистрации на территории Казахстана до 30 суток. В административном суде Нур-Султана журналистам рассказали о некоторых изменениях законодательства, сообщает zakon.kz. Изменения в КоАП вступили в законную силу 5 и 11 января 2020 года. В итоге 63 состава переведено в уполномоченный орган (то есть теперь право на рассмотрение передано им). А по 37 составам предусмотрены альтернативные виды взыскания.  Одно из изменений: в случае, если лицо, которое вовлечено в орбиту административного судопроизводства и потерпевший хотят немедленного рассмотрения дела, то оно, по их ходатайству, немедленно направляется в административный суд и дело разрешается незамедлительно. Тоже самое с вступлением решения в законную силу. Если стороны не хотят ждать 10 суток с момента оглашения, то могут ходатайствовать перед судом о немедленном вступлении решения в законную силу, и судья удовлетворить просьбу. Это очень хорошо по делам связанным с ДТП, когда сторона не хочет ждать и быстро восстановить свой автотранспорт. И для этого, длительное ожидание вступления в законную силу им не нужно. Они хотят быстрее получить страховые выплаты. Поэтому по их ходатайству быстро рассматривается дело, стороны согласны на вступление, и решение сразу направляется в страховую компанию для получения выплат и компенсаций, - пояснила судья городского суда Мадениет Омарбекова. Он также отметила, что поправки в КоАП предусматривают ускорено рассмотрение по нарушениям Налогового законодательства. По делам в области транспорта, когда автовладелец соглашается, что совершил дорожное правонарушение, он может в течение 7 суток оплатить 50% штрафа. То по налоговым нарушениям, таких послаблений раньше не было. Сейчас законодатель внес изменения. Так что нарушитель закона ""О налогообложении"" (в случае согласия с нарушением) может оплатить в течение 10 суток 50% штрафа по санкции конкретной статьи, - сообщила Омарбекова. Кроме того, с этого года миграционная служба наделена полномочиями по наложению административного взыскания в виде штрафа (если, конечно, у лица, ранее не было предупреждения).  А еще отменена временная регистрация для всех категорий иностранцев пребывающих в Казахстан до 30 суток. В случае пребывания свыше 30 суток иностранцы должны оформить разрешение на временное пребывание.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-13:44,0
Пасмурная погода с осадками ожидается на выходных,"
В выходные дни в южной половине Казахстана ожидается преобладание пасмурной погоды с осадками, туманом и гололедом, сообщает zakon.kz. Такая погода будет связана с циклоном, смещающимся со Средней Азии. А в северной половине республики снегопады, метели, сильный юго-западный ветер будут вызывать атмосферные фронты, перемещающимися с Европейской части России. Небольшое понижение температуры воздуха начнется уже в воскресенье, и она станет близкой к средним многолетним значениям февраля.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-13:38,0
Сапарбаев озвучил первые поручения,"
Сапарбаев
озвучил первые поручения
 
Аким
Жамбылской области Бердибек Сапарбаев провел первое аппаратное совещание, на
котором представил свое видение дальнейшего развития региона и приоритетных
направлений в экономике и социальной политике, сообщает zakon.kz.
Главное -
качественно и своевременно выполнять поручения руководства страны. По итогам
прошлого года регион достиг хороших социально-экономических показателей.
Необходимо не снижать заданных темпов, - отметил глава региона.
Потенциал области
достаточно высокий, однако за первый месяц текущего года допущено снижение в
таких отраслях, как промышленность, переработка, привлечение инвестиций.
Заметное отставание по объему освоенных средств, в данном направлении
необходимо усилить работу администраторам бюджетных программ. Глава региона
подчеркнул, что итоги первого квартала должны быть не хуже результатов прошлого
года.
Уровень
безработицы - 4,8% сопоставим со среднереспубликанским значением, но при этом в
области все еще большое количество самозанятых. Поэтому нужно создавать как
можно больше новых постоянных рабочих мест, вплотную работать с такими
гигантами местной промышленности, как ТОО «Казфосфат» и «Еврохим», привлекать в
регион крупных отечественных и зарубежных инвесторов.
Через территорию
региона пролегают сразу три крупных газопровода, что предполагает более
эффективное развитие газораспределительной сети. По мнению акима области, для
интенсивного развития Амангельдинского газового месторождения необходимо при
помощи профильного министерства провести масштабные геологоразведочные работы.
Жамбылский регион
является аграрным, поэтому развитие сельского хозяйства играет ключевую роль в
общем развитии области. Сейчас надо шире пользоваться государственной
поддержкой по увеличению площадей поливных земель, параллельно увеличивая
эффективность их использования.
Другой
немаловажный вопрос - диверсификация посевов, больше внимания необходимо
уделять рентабельным культурам, масличным, увеличить объемы сахарной свеклы для
последующей загрузки местных сахарных заводов. На повестке дня - подготовка к
весенне-полевым работам, своевременная подготовка сельхозтехники, приобретение
и посадка высококачественных семян.
Сельчане должны
быть заняты круглый год, заниматься как растениеводством, так и
животноводством, - акцентировал аким области.
Обязательно
найдет свое продолжение проект по повышению доходов жителей аулов, главное -
чтобы он не забуксовал на самом своем старте.
Выделенные на
пилотный проект 7,2 миллиарда тенге должны быть освоены в полном объеме. Мы
должны показать жизнеспособность проекта, что в дальнейшем позволит расширить
объемы финансирования и улучшить материальное положение большего количества
людей, - отметил глава области.
Регион имеет все
возможности для обеспечения себя овощами и фруктами, в том числе в период
межсезонья. Необходимо обратиться к опыту Карагандинской области, где хорошо
работают оптово-распределительные центры, а цены на продукты питания ниже
жамбылских.
Имея
международный аэропорт, нужно в разы увеличить количество авиасообщений, причем
не только по внутриказахстанским маршрутам. Строительство социально-культурных
объектов находится на должном уровне, данную тенденцию необходимо продолжить.
В сфере
образования для ликвидации аварийных и трехсменных школ нужно ввести в строй 17
школ.
Для увеличения
товарооборота следует шире использовать транзитный потенциал области, в сфере
альтернативной энергетики завершить строительство шести станций и довести
совокупную мощность получаемой от ВИЭ электроэнергии до 400 мВт.
Он также озвучил
задачи в таких аспектах, как повышение уровня доходов жамбылцев, увеличение
налогооблагаемой базы, внедрение системы обязательного медицинского
страхования, ликвидация задолженностей по заработной плате, повышение качества
медицинских услуг, снижение уровня бюрократии в здравоохранении,
духовно-нравственного воспитания молодежи, укрепление связи между родителями и
школой.
Завершая
совещание, Бердибек Сапарбаев отметил, что ответственные государственные органы
должны извлечь выводы из событий, произошедших в Кордайском районе.
Нам должно быть
стыдно. Эти трагические события должны стать для нас серьезным уроком, чтобы не
допустить повторения подобного впредь. Госорганы, общественность и
интеллигенция должны объединить свои усилия и провести работу по сохранению
единства и согласия в обществе, - резюмировал он.
",2020-02-14-13:36,0
С 2020 года по налоговым обязательствам следует применять трехлетний срок исковой давности,"
С 2020 года по налоговым обязательствам следует применять трёхлетний срок исковой давности с учетом исключений и особенностей, сообщает zakon.kz. Комитет государственных доходов МФ РК, сообщает, что с 2020 года по налоговым обязательствам и требованиям предшествующих периодов следует применять трёхлетний срок исковой давности с учетом исключений и особенностей, предусмотренных статьей 48 Налогового Кодекса. Наряду с этим в целях исключения различной трактовки вышеуказанных положений в настоящее время Комитетом инициированы соответствующие поправки с учётом позиции уполномоченного органа в сфере налоговой политики, - говорится в сообщении.  Полный текст письма размещен на официальном сайте kgd.gov.kz  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-13:31,0
Филипп Киркоров шокировал новым клипом с развратом в церкви,"
Российский певец Филипп Киркоров не перестает удивлять. И если вы думаете, что ""Цвет настроения синий""- это ужас, не спешите с выводами. По сравнению с новым клипом Киркорова ""Романы"" тот клип покажется невинной детской шалостью, передает zakon.kz. Действие клипа происходит в церкви, сам Филипп Киркоров играет роль священника, к которому на службу и проповедь пришла сексуальная блондинка в коротком платье. В клипе также есть монашки, которые показывают, какие эмоции и мыслишки скрыты под их скромными одеяниями.  Как отреагируют на новое видео от Киркорова в духовенстве, станет известно немного позже.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-13:30,49
Администратор букмекерской конторы организовал интернет-казино в Шымкенте,"
Администратор букмекерской конторы ""Фаворит"" незаконно организовал интернет-казино в Шымкенте. Об этом сообщили zakon.kz в пресс-службу Комитета по финансовому мониторингу МФ РК.  Департамент экономических расследований по городу Шымкент Комитета по финансовому мониторингу МФ РК завершил досудебное расследование в отношении бывшего администратора букмекерской конторы ""Фаворит"" Стебунова. Работая администратором ТОО ""Букмекерская контора ""Фаворит"" с торговым знаком ""Fin Bet"", гражданин использовал ранее арендованные товариществом помещения, к которым имел свободный доступ, и предоставлял букмекерские услуги и незаконно организовал электронное казино. Также с помощью программного приложения ""FLG"" в онлайн режиме он обеспечил доступ к смонтированным и анимационным играм посредством аппаратно-программного комплекса, предусматривающее получение выигрыша, - сообщили в ведомстве. Приговором Абайского районного суда Шымкента Стебунов признан виновным в соответствии со статьей 307 ч.1 УК РК (организация незаконного игорного бизнеса). За совершение данного преступления предусмотрено  наказание в виде штрафа в размере 300 МРП (757 500 тенге). В ходе следственных мероприятий были изъяты вещественные доказательства – мониторы и процессоры в количестве 108 штук, флеш-карты и модемы, а также денежные средства в сумме 586 600 тенге.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-13:23,0
Проходной балл для поступающих на педагогические специальности повысили в Казахстане,"
Проходной
балл для поступающих на педагогические специальности повысили в Казахстане
 
Выпускники
казахстанских школ не хотят поступать на педагогические специальности, Поэтому
на педагогические направления подготовки поступают по остаточному принципу. В
министерстве образования и науки РК приняли ряд конкретных мер для исправления
ситуации, передает zakon.kz.
По стране дефицит
учителей составляет около 5 000 человек. На сегодняшний день по педагогическим специальностям
обучаются 145 тысяч студентов. Ежегодно высшие учебные заведения
педагогического направления выпускают 40 тысяч будущих педагогов, но проблема
дефицита учителей не решается. Почему? Во-первых, выпускники не хотят идти
работать в школу. Во-вторых, нет стимула, - сказал Асхат Аймагамбетов в ходе
интервью телеканалу Qazaqstan.
По словам главы
ведомства, для повышения престижа профессии педагога Министерством образования
и науки РК принят ряд конкретных мер. Так, в 2019 году для поступления на педагогические
специальности проходной балл был увеличен до 60 баллов (ранее нужно было
набрать не менее 50 баллов). В 2020 году проходной балл планируется увеличить
до 70 баллов.
",2020-02-14-13:15,0
Ярослава Шведова стала капитаном национальной женской сборной РК по теннису,"
Ярослава Шведова возглавила женскую национальную сборную по теннису и продолжит карьеру в качестве играющего тренера, сообщает zakon.kz. Для меня стало большой честью получить предложение от президента Федерации тенниса Булата Утемуратова возглавить нашу сборную команду. Это замечательная возможность проявить себя в новом направлении – быть и капитаном, и игроком одновременно. Вместе с тем это и большая ответственность, и я приложу максимум усилий, чтобы оправдать надежды руководства Федерации, - отметила Ярослава Шведова. В начале текущего года спортсменка вернулась в профессиональный тур после рождения двойни и уже успела принять участие в квалификационном матче Кубка Федерации в составе сборной Казахстана, который проходил 7-8 февраля в Бельгии. Ярослава Шведова является заслуженным мастером спорта по теннису, победительницей двух турниров Большого шлема в парном разряде (Уимблдон, Открытый чемпионат США-2010), финалисткой пяти турниров Большого шлема (четыре – в парном разряде, один – в миксе), экс третей ракеткой мира в парном разряде, победительницей 15 турниров WTA(один из них в одиночном разряде), обладательницей бронзовой медали 17-х Азиатских Игр 2014 года.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-13:11,2
Давать согласие или несогласие на посмертное донорство смогут родственники умершего,"
Давать
согласие или несогласие на посмертное донорство смогут родственники умершего
 
Министр
здравоохранения РК Елжан Биртанов рассказал, что в ведомстве старались
выстроить максимально открытую дискуссию по обсуждению нового Кодекса РК «О
здоровье народа и системе здравоохранения», передает корреспондент zakon.kz.
По
трансплантации, это не только норма закона, но также медицинское понятие, это
технологии, но также и большой этический вопрос. Во многих странах мира этот
вопрос рассматривается очень внимательно. Вчера г-н Клюге высказал свою точку
зрения по данному вопросу. Парламент Германии в настоящее время рассматривает
этот вопрос. Но каждое государство примет норму закона, исходя из традиции
народов, приживающих на ее территории, согласно истории, согласно готовности
населения, - сказал Биртанов на совместном брифинге с ВОЗ.
По его словам, в
вариант проекта Кодекса РК «О здоровье народа и системе здравоохранения» после
осуждений были внесены поправки в части посмертного донорства.
Понимая это, мы
внесли некоторые изменения в проект Кодекса о здоровье народа и системе
здравоохранения. Самая главная и спорная норма была о том, что у умершего
человека изымать органы, если при жизни он не выразился против этого. Человек
при жизни должен был в наших медицинских базах указать свою позицию, что он
против посмертного донорства. Если этой информации не будет, то на посмертное
донорство должны дать согласие его родственники. Только в этом случае этот
человек может быть донором. Если родные будут не согласны, то тогда этот
человек не может быть донором, - сообщил министр.
В то же время он
указал, что с самого начала обсуждение Кодекса было построено на транспарентной
основе.
С самого начала,
когда мы начали разработку данного Кодекса, мы старались выстроить максимально
открытую дискуссию обсуждения Кодекса. Те предложения, в том числе и критика,
которые поступают, мы считаем, это отражение вот этого нового подхода,
открытости и транспарентности дискуссии со всеми представителями казахстанского
общества. К нам поступили петиции, обращения населения о тех нормах, которые
вызывают наибольшую критику. Мы обсуждали эти резонансные чувствительные нормы,
- уточнил глава ведомства.
Также Биртанов
выразил благодарность всем, кто принял участие в обсуждениях.
Хочу выразить
благодарность представителям неправительственных организаций и нашим
парламентариям за очень конструктивную позицию. Мы проработали все эти нормы, и
практически по всем из них у нас есть консенсусные решения, которые удовлетворяют
и представителей НПО, и специалистов в области здравоохранения, медицинских
работников и парламентариев. Эта работа будет продолжаться, и я уверен, что в
конечном итоге наша общая задача - не отказаться от Кодекса и остаться с
устаревшим вариантом, а принять новый кодекс в интересах населения нашей
страны, - заключил министр.
 
Оксана Скибан
",2020-02-14-13:11,0
Эмир Катара посетит Казахстан,"
Премьер-министр РК Аскар Мамин принял делегацию во главе с министром торговли и индустрии государства Катар Али бен Ахмедом Аль-Кауари, передает zakon.kz. Али бен Ахмед Аль-Кауари информировал главу правительства Казахстана об итогах заседания экспертной группы 5-й казахстанско-катарской совместной Комиссии высокого уровня, - сообщается на сайте премьера. Глава правительства отметил наличие существенного потенциала для наращивания сотрудничества Казахстана с Катаром в торгово-экономической, инвестиционной, финансово-банковской, сельскохозяйственной и других сферах. Между странами установлен безвизовый режим, в ближайшее время планируется запустить прямые рейсы между Нур-Султаном и Дохой. В дальнейшем по 7 раз в неделю будут выполняться регулярные рейсы не только между столицами, но и между Алматы и Дохой. Стороны обсудили предстоящий в марте т.г. визит в Казахстан Эмира Катара шейха Тамима бен Хамада Аль-Тани, а также перспективы взаимодействия в торгово-экономической, инвестиционной и финансово-банковской сферах. Во встрече приняли участие Министр национальной экономики Даленов, чрезвычайный и полномочный посол РК в Государстве Катар Шокыбаев.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-13:08,0
Айсултан Сеитов снял самый сложный клип в своей карьере,"
Казахстанский режиссер Айсултан Сеитов выпустил новый клип для популярных американских рэперов Migos, Young Thug и Travis Scott. Он признался, что это самый сложный проект в его карьере, передает zakon.kz. Migos, Young Thug и Travis Scott являются одними из наиболее популярных исполнителей в США, и обратились к Айсултану Сеитову, который уже снимал клипы для мировых звезд.  Сегодня выходит работа, над которой мы с командой работали четыре месяца. Это самый сложный проект, над которым я когда-либо работал, - сообщил Сеитов в своем Instagram.   Предыдущими работами Сеитова были клип для певца Joji, а также видео для парижского дома высокой моды Saint Laurent.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-13:05,5
В Туркестанской области работают около 142 тыс. субъектов малого и среднего бизнеса,"
В Туркестанской области работают около 142 тыс. субъектов малого и среднего предпринимательства, которые являются основным драйвером экономики. По этому показателю регион занимает 2 место в республике. Об этом сегодня в ходе отчетной встречи с населением сказал аким области Умирзак Шукеев, сообщает zakon.kz.  Глава региона отметил, что объем финансирования бизнеса в 2019 году составил 74,6 млрд тенге, что на 16,5 млрд тенге больше по сравнению с прошлым годом. В результате профинансировано более 5 тыс. проектов малого и среднего бизнеса и около 42 тыс. сельхозтоваропроизводителей.  Привлечение инвестиций является одной из основных задач, поставленных Главой государства в Послании. В результате значительной и системной работы по реализации проектов в регион направлено 441,2 млрд тенге инвестиций, индекс физического объема составил 38,5%. В том числе 61,6 млрд долл. тенге это внешние инвестиции, доля которых составила 14%. Помимо этого, в регионе функционируют 9 индустриальных зон и специальная экономическая зона ""TURKISTAN"", - сказал У.Шукеев.  Стоит отметить, в 2020 году в Келесском районе российская компания ""Эко-Культура"" приступила к реализации проекта по строительству на площади 500 га крупнейшего тепличного комплекса в стране стоимостью 450 млрд тенге. Проект предполагается реализовать поэтапно. В течение 5 лет будет создано более 10 тыс. новых рабочих мест.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-13:00,0
Посмертное донорство: родственники умершего смогут принимать решение,"
Министр здравоохранения РК Елжан Биртанов рассказал, что в ведомстве старались выстроить максимально открытую дискуссию по обсуждению нового Кодекса РК ""О здоровье народа и системе здравоохранения"", передает корреспондент zakon.kz. По трансплантации, это не только норма закона, но также медицинское понятие, это технологии, но также и большой этический вопрос. Во многих странах мира этот вопрос рассматривается очень внимательно. Вчера г-н Клюге высказал свою точку зрения по данному вопросу. Парламент Германии в настоящее время рассматривает этот вопрос. Но каждое государство примет норму закона, исходя из традиции народов, приживающих на ее территории, согласно истории, согласно готовности населения, - сказал Биртанов на совместном брифинге с ВОЗ. По его словам, в вариант нового Кодекса РК ""О здоровье народа и системе здравоохранения"" после осуждений были внесены поправки в части посмертного донорства. Понимая это, мы внесли некоторые изменения в проект Кодекса о здоровье народа и системе здравоохранения. Самая главная и спорная норма была о том, что у умершего человека изымать органы, если при жизни он не выразился против этого. Человек при жизни должен был в наших медицинских базах указать свою позицию, что он против посмертного донорства. Если этой информации не будет, то на посмертное донорство должны дать согласие его родственники. Только в этом случае этот человек может быть донором. Если родные будут не согласны, то тогда этот человек не может быть донором, - сообщил министр. В то же время он указал, что с самого начала обсуждение Кодекса было построено на транспарентной основе. С самого начала, когда мы начали разработку данного Кодекса, мы старались выстроить максимально открытую дискуссию обсуждения Кодекса. Те предложения, в том числе и критика, которые поступают, мы считаем, это отражение вот этого нового подхода, открытости и транспарентности дискуссии со всеми представителями казахстанского общества. К нам поступили петиции, обращения населения о тех нормах, которые вызывают наибольшую критику. Мы обсуждали эти резонансные чувствительные нормы, - уточнил глава ведомства. Также Биртанов выразил благодарность всем, кто принял участие в обсуждениях. Хочу выразить благодарность представителям неправительственных организаций и нашим парламентариям за очень конструктивную позицию. Мы проработали все эти нормы, и практически по всем из них у нас есть консенсусные решения, которые удовлетворяют и представителей НПО, и специалистов в области здравоохранения, медицинских работников и парламентариев. Эта работа будет продолжаться, и я уверен, что в конечном итоге наша общая задача - не отказаться от Кодекса и остаться с устаревшим вариантом, а принять новый кодекс в интересах населения нашей страны, - заключил министр.   Оксана Скибан, Нур-Султан
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-12:52,16
"Сколько месяцев уйдет на реконструкцию ""Кордая""","
10 месяцев будет проводиться реконструкция пункта пропуска ""Кордай"" на казахстанско-кыргызской границе, передает zakon.kz. В Погранслужбе Казахстана сообщили, что с 20 февраля в пункте пропуска ""Кордай"" будет проводиться реконструкция. Она продлится 10 месяцев. Подрядной организацией является ТОО ""Дорстрой"". Договор с компанией заключили 28 ноября 2019 года. Генеральным проектировщиком и автором проекта является ТОО ""Синтез"". В связи с началом работ по реконструкции автомобильного пункта пропуска ""Кордай"" для обеспечения безопасности и с учетом потребностей граждан Казахстана и Кыргызстана в трансграничном перемещении с 20 февраля 2020 года. На период производства работ будет осуществляться пропуск только граждан Казахстана и Кыргызстана в пешем порядке в период с 6:00 до 24:00 без груза в коммерческом объеме, только с ручной кладью, - говорится в сообщении. В ведомстве рекомендуют иностранцам использовать другие пункты пропуска на казахстанско-кыргызской границе. Это касается и тех, кто желает перейти границу на транспорте. Накануне Погранслужба Кыргызстана заявила, что пункт пропуска на кыргызско-казахстанской границе ""Ак-Жол"" будет закрыт на реконструкцию с 20 февраля. Граждане смогут пересекать границу в пешем порядке без объемной ручной клади. По их данным, будет приостановлен пропуск транспортных средств и грузов. Весь пассажиропоток будет перенаправлен в другие пропускные пункты. Строительные работы кыргызская сторона намерена завершить до конца 2020 года. Ранее сообщалось, что пункт пропуска ""Кордай"" закроется в январе.  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-12:47,7
Автолюбители боятся наказания. За 2 месяца в Нур-Султане было поймано 12 пьяных водителей,"
Ужесточение наказания за вождение в состоянии алкогольного опьянения – дает свои результаты. За 2 месяца в административном суде столицы было рассмотрено только 12 дел по ст.608 ч.1. Об этом на брифинге рассказала судья городского суда Мадениет Омарбекова, передает корреспондент zakon.kz. В этом году, в несколько статей КоАП были внесены поправки предусматривающие ужесточение наказания. Среди них – ст.608 (управление транспортным средством в алкогольном, наркотическом или токсическом состоянии) и ст. 613 ч.4 (отказ от прохождения освидетельствования). Если раньше по 608 ч.1 управление транспортного средства в состоянии алкогольного опьянения подразумевало 3 года лишения прав, то теперь в этой статье появились санкции в виде ареста на 15 суток, а срок лишения прав вырос до 7 лет. С начала года, мы рассмотрели 12 таких дел. 4 были обжалованы в апелляционную инстанцию, но оставлены без изменения, а жалобы без удовлетворения. В своих жалобах они просят снизить лишение права на управление до 1 года. Считаю, что законодатель правильно ужесточил, поскольку много совершается преступлений со смертельным исходом, поскольку лицо, которое садится управлять транспортным средством в состоянии алкогольного опьянения должно понимать, что это преступление. А последствия – человеческие жертвы, - сказала Омарбекова. Ст.613 (отказ от прохождения освидетельствования) до 2018 года предусматривала лишение прав на 2 года. Потом ответственность ужесточили, назначив срок лишения за отказ в 3 года. Теперь же отказ от прохождения освидетельствования человеку грозит 20 сутками ареста и лишением права управления транспортным средством на 8 лет. При повторном совершении правонарушение, срок ареста увеличивается до 20 дней, а лишение прав до 9 лет. Это дисциплинирует водителей. И за 2 месяца мы рассмотрели только 12 дел, хотя и в прошлом году количество дел по этим статьям – уменьшилось на 200 единиц. В 2018 году по 608 статье было рассмотрено 1366 дел, то в 2019 – 1071, то есть меньше на 295. Думаю, ужесточение мер, облагоразумит беспечных водителей, - добавила судья.  Татьяна Ковалева, Нур-Султан
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-12:38,6
